ResponseId,Source,M1,M2,M3,credible_1,credible_2,credible_3,credible_4,credible_5,action_1,action_2,action_3,action_4,action_5,action_6,action_7,action_8,CE_1,CE_2,INV_1,INV_2,INV_3,INV_4,ATT_1,ATT_2,ATT_3,ATT_4,ATT_5,EFF_1_1,EFF_1_2,EFF_1_3,EFF_1_4,EFF_2_1,EFF_2_2,EFF_2_3,EFF_2_4,EFF_2_5,gender,age,
R_21pNVoDwt0aGo4x,,1,2,1,4,2,5,2,2,1,1,1,1,1,1,1,1,5,5,6,4,5,3,5,5,5,6,4,2,4,2,2,4,4,4,4,4,2,22,no
R_2TH1E7na4DqMA33,Jennifer Lawrence,5,6,5,6,6,6,6,6,4,4,5,5,4,4,4,4,5,5,7,6,7,6,7,7,7,7,7,4,5,5,5,7,7,7,7,7,2,18,No
R_1rrhPIaXlqsd1iZ,,1,1,2,6,5,4,4,4,3,3,2,1,1,1,1,1,5,4,5,4,2,2,5,6,4,4,4,2,3,6,6,4,5,5,6,4,2,19,no
R_1OoDw4YneAAcI16,Ali B,6,6,7,6,3,3,3,4,1,1,1,1,1,1,1,1,6,4,7,7,7,5,7,7,7,7,5,2,5,5,5,5,5,5,5,5,1,18,No
R_2cwHzMegRRyTaky,,1,2,3,5,5,5,5,5,1,1,1,2,1,1,1,1,1,2,7,6,7,4,6,6,6,4,5,2,4,2,5,4,6,5,5,6,2,19,nope!
R_2EsC3mDHof5MuIu,Blake,6,7,6,7,5,3,5,4,1,1,3,2,1,1,2,1,6,6,7,7,5,4,6,5,5,3,4,2,5,3,3,2,3,6,3,2,1,18,no
R_w0fCDEdQg3lFi1P,,4,4,3,5,5,5,5,4,5,5,2,2,2,2,1,1,4,5,6,4,6,4,4,4,4,4,4,6,5,3,3,6,4,5,3,4,2,21,
R_26eUh8edOOX84nD,Sophia,7,7,6,6,6,6,6,6,7,6,2,5,4,5,5,2,6,4,7,7,5,4,6,7,6,4,4,4,5,5,5,4,6,6,4,5,1,20,no
R_3RqrtOVimTAjtqP,Althea,7,7,5,7,5,4,7,7,6,5,5,1,3,4,3,2,7,6,7,5,4,3,6,6,6,6,7,5,5,2,6,6,6,5,5,5,2,56,"Some of the prompts were grammatically incorrect and confused me -- such as ""the conversation of the dish"" which I think meant to be read ""the conversion of the dish."" Otherwise it was fine."
R_OJWWEuj4QVSOKsN,Teo Sanico,7,7,4,5,6,5,7,6,3,2,2,1,2,2,1,1,4,5,6,4,3,3,5,5,5,4,4,3,3,5,5,4,5,3,6,5,2,19,No
R_YREPOSezvSxPBEB,,4,4,4,5,5,5,5,5,5,4,3,3,2,2,2,2,3,3,6,5,5,5,5,5,5,5,5,5,4,3,3,4,4,4,3,4,1,18,
R_33ezkX3qicIRieA,,4,4,2,5,6,3,2,6,3,1,1,1,1,1,1,1,1,5,4,5,4,2,6,6,6,5,7,3,3,4,4,6,6,6,6,4,1,18,N
R_3dGmqGuW33YRpIy,Lexi Brugger,7,7,6,5,3,5,6,6,3,2,1,1,1,2,1,1,5,6,3,3,4,3,3,3,3,3,3,2,5,3,4,2,3,3,6,6,2,19,Some grammar errors made some questions cryptic
R_yxPJFJ8OmjgTZx7,,5,5,4,7,6,6,6,5,3,6,2,4,1,1,1,1,3,6,7,7,7,7,5,5,7,3,4,3,3,5,6,5,6,6,5,2,1,19,no
R_DeH6dVntStsObQd,,1,1,1,4,4,4,4,4,1,1,1,1,1,1,1,1,1,1,5,1,5,2,6,6,6,6,6,4,4,4,4,4,4,4,4,4,1,21,No
R_OJu0rKBbl7FDAn7,Vineet,7,7,7,7,6,6,7,7,3,2,1,1,1,1,1,1,6,6,7,7,6,6,6,6,6,5,6,5,5,5,5,6,6,5,5,6,2,21,No
R_10TRGM278V6KQBc,,1,1,1,6,6,5,6,5,5,5,2,3,1,1,3,1,5,5,6,5,4,3,7,7,7,5,7,4,5,5,6,4,4,3,6,6,2,19,no
R_9N7a9ENhNw8ZoUp,cant,4,5,4,4,4,3,4,3,4,5,2,5,2,5,5,5,1,1,3,3,3,3,5,5,5,5,5,5,7,4,2,3,3,3,5,4,2,17,this is a pilot test from catherine 
R_bClKQ3mxswlfYcN,,3,4,3,3,4,4,5,5,7,7,7,7,7,7,7,7,7,,6,5,,6,3,3,,4,4,3,3,3,3,2,,2,2,2,2,,no
R_3gZyO3d1Ln7st1S,,2,1,1,6,3,3,3,3,1,1,1,1,1,1,1,1,5,4,5,4,5,4,6,6,6,5,5,4,3,3,3,5,5,3,5,5,1,18,no
R_3jTkEq9qynUa1dM,David Rosenzweig,6,6,6,7,7,4,7,7,1,1,1,1,1,1,1,1,3,2,6,4,4,2,5,5,5,4,4,5,6,5,2,3,3,3,5,4,2,19,No
R_3FWYGKZU0n8qR2z,,2,1,1,7,7,3,6,6,2,5,2,2,3,3,3,2,4,3,6,5,5,4,6,6,6,6,6,6,6,5,5,6,6,5,6,6,2,19,
R_O6CWyHFcMqrHDvH,Ryan Hseih,6,5,7,7,6,6,7,7,6,2,1,2,1,2,2,2,4,3,6,5,6,6,6,5,6,4,5,6,4,4,4,5,6,6,5,6,2,19,no
R_2qjWsuArV8jg5VX,,2,2,2,6,6,3,6,5,7,2,2,2,2,2,2,2,3,3,7,6,4,4,6,6,6,6,6,7,5,6,6,6,6,5,5,5,1,19,none
R_2txwpnhDPTxPS4M,Sam,6,6,5,6,6,5,6,6,6,5,4,4,3,4,3,3,4,3,5,4,4,4,5,5,5,4,5,4,4,4,4,4,4,4,4,4,1,23,no
R_3G0uMGHnWWFKmDC,,1,2,2,6,6,6,6,6,2,2,2,2,2,2,2,2,4,1,4,5,3,3,5,5,5,5,5,2,4,3,3,3,5,3,5,5,1,18,no problems
R_DuCIb5RvSMoHbJD,Caroline,7,6,7,6,6,6,6,6,6,2,2,2,1,1,1,1,5,6,6,6,7,6,4,4,4,4,4,7,6,5,5,6,6,5,5,5,1,20,no
R_1mn1riQYrxk1TOF,,1,1,1,5,4,3,4,4,5,5,3,3,2,1,3,2,3,3,7,5,7,4,6,6,6,4,5,3,3,5,5,3,5,4,3,3,1,21,no
R_DleD9L93qkCxf5n,,4,3,3,5,5,3,4,3,5,5,2,1,2,2,2,1,6,4,5,5,5,4,5,5,6,5,5,3,5,3,5,6,4,5,5,5,1,18,no
R_Uyfoz2C3mRiYOZP,Carter ,5,6,3,6,3,5,5,5,5,5,2,2,1,1,1,1,4,3,6,4,5,2,3,5,5,3,4,1,3,2,2,5,5,3,3,5,2,20,None
R_21cEvGs4i7kJeBW,,1,3,2,5,5,4,5,4,7,5,5,2,2,3,3,2,5,4,6,5,7,6,7,4,4,4,5,4,6,5,2,5,6,3,5,5,1,20,no
R_3EMbwrhn2JGI0vW,Morgan,6,6,5,3,3,2,3,3,3,3,1,1,1,1,1,1,5,5,7,7,7,5,6,5,6,4,5,3,5,5,3,5,4,5,5,5,1,18,"The task was somewhat unclear - I wasn't entirely sure how my relationship to the author of the fictional post was supposed to impact my response. Also, I, personally am not an avid social media user and rarely like/comment/share potentially controversial posts."
R_3p43k29dMM7S1ra,,3,3,2,5,5,4,4,4,2,2,1,1,1,1,1,1,3,2,4,5,5,4,6,6,6,6,6,2,3,2,2,2,4,5,5,5,1,20,
R_2CktNMXdUQCSILm,Mehraan Keval,6,6,6,6,6,5,6,6,6,5,5,3,3,3,2,5,6,5,6,5,6,5,5,6,5,6,6,6,5,5,4,6,5,4,5,5,2,21,No.
R_120kroLeXfsqd6d,,2,3,2,5,4,3,5,5,2,2,2,1,1,1,1,1,2,3,5,5,5,5,6,6,6,6,6,4,5,4,3,5,5,5,5,5,1,18,No
R_2OZjP7umP7o6rWn,,3,2,1,5,6,6,5,4,1,1,1,1,1,1,1,1,6,5,6,4,6,2,6,4,4,5,4,1,3,4,1,4,5,5,6,4,2,19,No i did not
R_wS5UA9ThK7jzuE1,Tom,5,6,4,6,6,5,6,5,6,3,1,1,1,5,1,1,5,6,7,7,6,5,7,6,6,4,7,6,5,6,2,5,6,3,6,6,2,18,No
R_1N4DEVJdcypYxvZ,Karla Villanueva,7,7,7,7,6,2,6,5,6,1,1,2,1,1,1,1,6,5,7,7,7,6,7,7,4,7,7,6,5,7,6,6,6,1,6,7,2,19,no
R_2zeIdeTHJPofeB8,Nick Bellafronto,5,7,7,6,6,6,6,6,5,1,1,1,1,1,1,1,5,5,6,5,5,5,6,6,6,5,6,5,6,6,4,5,6,3,6,5,2,20,no
R_1QLMIoPGJSjj7ry,,5,5,5,5,5,6,6,6,6,6,5,5,4,4,5,5,5,5,6,5,5,5,5,5,5,5,5,5,6,6,6,6,6,5,5,5,1,18,no
R_5BwHkNuaLYNJbu9,,2,2,1,5,5,5,6,6,2,2,1,2,2,2,1,1,6,4,6,5,5,6,6,5,5,5,5,5,6,4,5,6,6,5,6,5,2,20,nope!
R_BCVCRVAfl5UjA3f,Crystal Zheng,6,6,7,6,6,5,6,5,7,7,3,5,1,1,3,2,5,2,6,6,7,5,6,5,5,3,5,5,5,6,6,3,3,5,5,5,2,20,No
R_2wuiHJq90MYS466,test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_3jUsZS7MPGb64Kf,,5,5,5,5,5,3,5,5,5,4,2,1,1,1,1,1,3,4,5,5,4,3,5,3,5,4,5,3,3,4,5,5,5,4,4,4,2,19,
R_3CN4B9fuvXWBxNy,Maya,7,7,2,6,5,5,6,6,7,5,5,7,1,1,1,1,5,3,5,5,7,6,7,7,7,7,7,3,5,2,3,6,7,6,6,6,1,19,no
R_BQHVtaZkdRA4H3X,,4,4,4,4,5,4,4,4,5,4,2,2,2,2,2,1,5,5,7,6,6,5,6,6,6,6,6,5,5,7,7,5,6,4,6,6,2,20,No
R_27aoE0YSEv1KlxF,Katie Baxter,6,6,5,6,6,5,6,5,4,3,3,3,2,1,1,1,5,3,5,5,6,6,5,5,4,5,5,5,5,5,5,5,5,6,5,5,1,18,Nope!
R_2rD6RRtXOabeT1N,Paige Voigt,7,7,7,7,7,5,7,7,7,2,1,2,1,1,1,1,7,6,7,7,7,7,7,7,7,7,7,5,5,3,3,7,7,7,2,2,1,21,
R_XzU06zsAiqC5BXb,,1,1,1,7,7,7,7,7,7,7,1,6,5,6,6,3,3,6,7,7,7,7,7,6,7,6,6,5,6,6,5,6,6,6,7,6,2,18,No
R_2gj6lrQ1JEViBNL,,7,7,7,7,7,7,7,7,7,7,2,2,1,1,1,1,7,7,7,7,7,7,7,7,7,7,7,6,2,5,3,7,7,7,2,2,1,21,
R_1C6BRo1xhlNNaLL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_2sXCRfwyoNDjMtw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_1qUvKqcq4UjyHgY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_2SwzNalyKfGwAl2,Ahmed,6,6,5,7,7,7,7,7,7,7,7,7,1,1,1,1,3,4,7,7,7,6,7,7,7,7,7,7,7,6,7,7,7,6,6,6,1,20,no
R_1MSBHvU8Yh4wM9s,Emma Knaus,7,7,6,7,6,5,6,5,1,1,1,1,1,1,1,1,5,5,6,5,7,6,7,4,4,4,4,5,6,4,4,5,5,3,7,4,1,19,no!
R_3GjMYowh6z5ip77,,1,1,1,4,4,4,4,4,1,1,1,1,1,1,1,1,3,4,4,4,5,4,5,6,5,5,5,4,4,4,3,5,5,5,4,4,2,21,No
R_2Sp1I95j0AYIMqG,ryan ojeda,6,7,6,5,4,5,5,5,2,2,2,2,2,2,2,2,2,2,4,4,3,5,3,4,4,4,2,2,5,3,3,4,4,4,4,4,2,19,no
R_2aV99sTJdRrkfIv,,5,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_3JdRUNuonjKbZjE,mike,6,7,6,7,7,6,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_24nQcBXxt1m8xQJ,,4,3,3,5,6,6,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_3iCQyauAn4fSr44,,6,6,6,6,6,6,6,6,5,5,5,5,,5,5,,,6,5,5,5,5,5,4,5,5,5,4,4,4,4,4,4,4,4,4,2,18,
R_UM9pUkn8VNuJSZH,Bakir,7,7,5,7,7,5,7,7,7,5,4,3,3,4,5,3,6,4,7,3,7,4,7,6,7,6,6,3,5,5,6,5,5,6,5,5,1,18,No
R_bKHw8B3UT1iMBr3,,5,5,5,6,6,6,6,6,1,1,5,1,1,1,1,1,6,6,6,5,6,6,5,5,5,5,5,6,4,3,4,5,5,5,4,4,2,20,Confusing wording
R_3iX8CvZt4OznqTY,asdf,5,3,4,3,4,6,6,7,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,
R_6YfqTVxH4XHGLO9,connor,6,6,6,5,5,4,4,5,3,3,3,3,3,4,4,4,5,4,3,4,4,3,4,3,5,5,2,7,6,4,7,4,6,5,5,3,2,18,no
R_2D0JKrEMs8uop9C,,4,3,6,3,4,4,3,5,4,5,4,3,4,4,6,5,5,4,5,5,4,5,4,5,4,6,7,4,4,3,4,6,5,4,4,5,2,18,no
R_273zfmiLYdGvCGN,,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,7,6,4,4,4,7,7,7,7,7,4,4,4,4,4,4,4,4,4,3,19,no
R_290PeULy2pTCoQL,Emma,5,6,4,6,6,6,6,6,7,5,2,1,1,1,1,1,5,4,7,5,6,6,7,7,7,7,7,7,7,5,3,6,7,3,6,6,1,,
R_24xe6dwbxwX6tle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_1EgPOHLWNXy99Ky,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,